Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
elden-ring,https://www.metacritic.com/game/playstation-5/elden-ring,Bandai Namco Games,From Software,"Feb 25, 2022","PC, PlayStation 4, Xbox One, Xbox Series X","A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date. Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice. George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made. Collapse",96,universal acclaim,84,84,0,0,7.7,generally favorable reviews,11324.0,3453.0,413.0,1028.0,"Role-Playing, Action RPG",4,M,"#1 Best PlayStation 5 Game of 2022
#3 Most Discussed PlayStation 5 Game of 2022"
the-witcher-3-wild-hunt---complete-edition,https://www.metacritic.com/game/playstation-5/the-witcher-3-wild-hunt---complete-edition,CD Projekt Red Studio,CD Projekt Red Studio,"Dec 14, 2022","PC, PlayStation 4, Switch, Xbox One, Xbox Series X","You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world. The Complete Edition contains the base game, offering a huge, over 100-hour long, open-world adventure, as well as both of its massive story expansions: Hearts of Stone & Blood and Wine worth an extra 50 hours of gameplay! It also comes with all additional content released for the game, alongside new features and items, including a built-in Photo Mode, swords, armor, and alternate outfits inspired by The Witcher Netflix series — and more!

UPDATED FOR PLAYSTATION 5
Behold the dark fantasy world of the Continent like never before! This edition of The Witcher 3: Wild Hunt has been enhanced with numerous visual and technical improvements, including vastly improved level of detail, faster loading times, a range of community created and newly developed mods for the game, real-time ray tracing, 3D audio support, and more — all implemented with the power of the PlayStation 5 in mind. The game also utilizes the unique features of the Dual Sense controller, with its advanced haptics and adaptive triggers, letting you immerse yourself in the adventure even more!

PLAY AS A HIGHLY TRAINED MONSTER SLAYER FOR HIRE
-Trained from early childhood and mutated to gain superhuman skills, strength, and reflexes, witchers are a counterbalance to the monster-infested world in which they live.
-Gruesomely destroy foes as a professional monster hunter armed with a range of upgradeable weapons, mutating potions, and combat magic.
-Hunt down a wide variety of exotic monsters, from savage beasts prowling mountain passes to cunning supernatural predators lurking in the shadowy back alleys of densely populated cities.
-Invest your rewards to upgrade your weaponry and buy custom armor, or spend them on horse races, card games, fist fighting, and other pleasures life brings.

EXPLORE A MORALLY AMBIGUOUS FANTASY OPEN WORLD
-Built for endless adventure, the massive open world of The Witcher sets new standards in terms of size, depth, and complexity.
-Traverse a fantastical open world: explore forgotten ruins, caves, and shipwrecks, trade with merchants and dwarven smiths in cities, and hunt across the open plains, mountains, and seas.
-Deal with treasonous generals, devious witches, and corrupt royalty to provide dark and dangerous services.
-Make choices that go beyond good & evil, and face their far-reaching consequences.

TRACK DOWN THE CHILD OF PROPHECY
-Take on the most important contract of your life: to track down the child of prophecy, the key to saving or destroying this world.
-In times of war, chase down the child of prophecy, a living weapon foretold by ancient elven legends.
-Struggle against ferocious rulers, spirits of the wilds, and even a threat from beyond the veil – all hell-bent on controlling this world.
-Define your destiny in a world that may not be worth saving.
Collapse",94,universal acclaim,31,30,1,0,7.9,generally favorable reviews,471.0,86.0,9.0,24.0,"Role-Playing, Action RPG",No Online Multiplayer,M,"#2 Best PlayStation 5 Game of 2022
#23 Most Discussed PlayStation 5 Game of 2022"
god-of-war-ragnarok,https://www.metacritic.com/game/playstation-5/god-of-war-ragnarok,PlayStation Studios,SCE Santa Monica,"Nov 9, 2022",PlayStation 4,"The freezing winds of Fimbulwinter have come to Midgard, making survival for Kratos, Atreus, and Mimir in the Norse wilds even more challenging than before. Kratos, still bearing the knowledge of his past mistakes, wants to spare Atreus the bloody lessons he learned from his conflict with gods. He wants to keep his son safe, above all, and their confrontation with Baldur has vindicated the belief that only tragedy will come from further entanglements with the Aesir. Together, Kratos and Atreus will have to make a choice about which path they will take. Whatever they choose will define the fate of all those living in the Nine Realms as Ragnarok approaches. Whatever your choice of combat strategy, the enemies that await in God of War Ragnarök will be ready. The realms have grown harsher, and a whole host of new creatures from across Norse mythology will test your skills. God of War Ragnarök will take you to the previously unreachable Vanaheim, Svartalfheim, and Asgard - as well as to new areas from locations featured in the last game. Exploring the realms will take you everywhere from verdant, otherworldly jungles to intricate subterranean mining networks. This next installment in the series will bring you a more diverse, beautiful, and mysterious variety of locations than in any other God of War game. Collapse",94,universal acclaim,141,140,1,0,7.9,generally favorable reviews,7769.0,2775.0,295.0,512.0,"Open-World, Action Adventure, General",No Online Multiplayer,M,"#3 Best PlayStation 5 Game of 2022
#4 Most Discussed PlayStation 5 Game of 2022"
hades,https://www.metacritic.com/game/playstation-5/hades,Private Division,Supergiant Games,"Aug 13, 2021","PC, PlayStation 4, Switch, Xbox One, Xbox Series X","Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre. Hades is a god-like rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre. BATTLE OUT OF HELL. As the immortal Prince of the Underworld, you'll wield the powers and mythic weapons of Olympus to break free from the clutches of the god of the dead himself, while growing stronger and unraveling more of the story with each unique escape attempt.

UNLEASH THE FURY OF OLYMPUS
The Olympians have your back! Meet Zeus, Athena, Poseidon, and many more, and choose from their dozens of powerful Boons that enhance your abilities. There are thousands of viable character builds to discover as you go.

BEFRIEND GODS, GHOSTS, AND MONSTERS
A fully-voiced cast of colorful, larger-than-life characters is waiting to meet you! Grow your relationships with them, and experience thousands of unique story events as you learn about what's really at stake for this big, dysfunctional family.

BUILT FOR REPLAYABILITY
New surprises await each time you delve into the ever-shifting Underworld, whose guardian bosses will remember you. Use the powerful Mirror of Night to grow permanently stronger, and give yourself a leg up the next time you run away from home.

NOTHING IS IMPOSSIBLE
Permanent upgrades mean you don't have to be a god yourself to experience the exciting combat and gripping story. Though, if you happen to be one, crank up the challenge and get ready for some white-knuckle action that will put your well-practiced skills to the test.
SIGNATURE SUPERGIANT STYLE
The rich, atmospheric presentation and unique melding of gameplay and narrative that's been core to Supergiant's games is here in full force: spectacular hand-painted environments and a blood-pumping original score bring the Underworld to life. Collapse",93,universal acclaim,31,31,0,0,8.7,generally favorable reviews,407.0,90.0,6.0,6.0,"Role-Playing, Action Adventure, Linear, Roguelike",No Online Multiplayer,T,"#1 Best PlayStation 5 Game of 2021
#28 Most Discussed PlayStation 5 Game of 2021"
demons-souls,https://www.metacritic.com/game/playstation-5/demons-souls,"Sony Interactive Entertainment , PlayStation Studios","JapanStudio, Bluepoint Games","Nov 11, 2020",,"From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality and incredible performance. In his quest for power, the 12th King of Boletaria, King Allant channelled the ancient Soul Arts, awakening a demon from the dawn of time itself, The Old One. With the summoning of The Old One, a colorless fog swept across the land, unleashing nightmarish creatures that hungered for human souls. Those whose souls were stripped from them, lost their minds – left only with the desire to attack the sane that remained. Now, Boletaria is cut off from the outside world, and the knights who dare penetrate the deep fog to free the land from its plight, are never seen again. As a lone warrior who has braved the baneful fog, you must face the hardest of challenges to earn the title “Slayer of Demons” and send The Old One back to its slumber. Collapse",92,universal acclaim,100,100,0,0,8.0,generally favorable reviews,3481.0,1034.0,75.0,155.0,"Role-Playing, Action RPG",6,M,"#1 Best PlayStation 5 Game of 2020
#1 Most Discussed PlayStation 5 Game of 2020"
persona-5-royal,https://www.metacritic.com/game/playstation-5/persona-5-royal,"Sega , Atlus",Atlus,"Oct 21, 2022","PC, PlayStation 4, Switch, Xbox One, Xbox Series X","Forced to transfer to a high school in Tokyo, the protagonist has a strange dream. ""You truly are a prisoner of fate. In the near future, ruin awaits you."" With the goal of ""rehabilitation"" looming overhead, he must save others from distorted desires by donning the mask of a Phantom Thief.
Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona!
Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life.
Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth. Collapse",91,universal acclaim,10,9,1,0,7.7,generally favorable reviews,136.0,15.0,3.0,10.0,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#4 Best PlayStation 5 Game of 2022
#53 Most Discussed PlayStation 5 Game of 2022"
tony-hawks-pro-skater-1-+-2,https://www.metacritic.com/game/playstation-5/tony-hawks-pro-skater-1-+-2,Activision,Vicarious Visions,"Mar 26, 2021","PC, PlayStation 4, Switch, Xbox One, Xbox Series X","Drop back in with the most iconic skateboarding games ever made. Play Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered, plus more.
Skate in super crisp 120 FPS at 1080P or 60 FPS in native 4K. Watch the levels come to life using sharper dynamic shadows, reflections, and lens flare, plus enhanced skater textures. The PS5 enhancements don’t stop at audio and visual upgrades, either. Major features include:

120 FPS @1080p
Native 4k @60FPS
SSD & Immediacy
Haptic feedback via the DualSense wireless controller
Spatialized Audio
High Fidelity Atmospherics
Activities and Game Help
Cross-Gen Progression Collapse",90,universal acclaim,19,19,0,0,7.1,mixed or average reviews,110.0,24.0,1.0,6.0,"Sports, Individual, Skate / Skateboard",8,T,"#2 Best PlayStation 5 Game of 2021
#54 Most Discussed PlayStation 5 Game of 2021"
final-fantasy-xiv-endwalker,https://www.metacritic.com/game/playstation-5/final-fantasy-xiv-endwalker,Square Enix,Square Enix,"Dec 7, 2021","PC, PlayStation 4","Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon.",90,universal acclaim,14,14,0,0,8.7,generally favorable reviews,573.0,99.0,3.0,13.0,"Role-Playing, Massively Multiplayer",,T,"#3 Best PlayStation 5 Game of 2021
#23 Most Discussed PlayStation 5 Game of 2021"
final-fantasy-vii-remake-intergrade,https://www.metacritic.com/game/playstation-5/final-fantasy-vii-remake-intergrade,Square Enix,Square Enix,"Jun 10, 2021",PC,"FINAL FANTASY VII REMAKE expands upon and reimagines the spectacular world of the original PlayStation game. It covers up through the escape from Midgar and is the first game in the FINAL FANTASY VII REMAKE project. INTERGRADE is a bundle that includes both REMAKE and the new episode featuring Yuffie. In her episode, play as the spirited ninja after she arrives in Midgar. There, she and another Wutaian operative are to rendezvous with Avalanche HQ, infiltrate the Shinra Building, and steal the conglomerate's most powerful materia. FINAL FANTASY VII REMAKE INTERGRADE takes advantage of the latest generation hardware and includes a wealth of graphical, gameplay and system enhancements for the PS5:
Immerse yourself in the city of Midgar like never before, with improved textures, lighting, and background environments. Players can switch between two game modes:
""Graphics Mode"" prioritizes 4K high-resolution graphics
""Performance Mode"" prioritizes smooth action at 60 frames per second
Capture and share your memorable moments from the game with a fully customizable “Photo Mode”
Enjoy immersive battles by using the DualSense wireless controller, with its haptic feedback integration, and enjoy dynamic bike racing with its adaptive triggers.
New difficulty settings for ‘Classic Mode’ provide new ways to play
Jump into the action faster with optimized loading times
Collapse",89,generally favorable reviews,56,55,1,0,8.3,generally favorable reviews,729.0,148.0,23.0,33.0,"Role-Playing, Action RPG",No Online Multiplayer,T,"#4 Best PlayStation 5 Game of 2021
#19 Most Discussed PlayStation 5 Game of 2021"
dead-space,https://www.metacritic.com/game/playstation-5/dead-space,Electronic Arts,"Electronic Arts, Motive Studios","Jan 27, 2023","PC, Xbox Series X","Developed exclusively for next generation consoles and PC, raising the level of horror and immersion to unprecedented heights for the franchise through stunning visuals, audio and controls powered by the Frostbite game engine. Fans will experience an improved story, characters, gameplay mechanics and more as they fight to survive a living nightmare aboard the desolate mining starship, the USG Ishimura, all while uncovering the dreadful mystery of what happened to the slaughtered crew and ship.
In Dead Space, Isaac Clarke is an everyman engineer on a mission to repair a vast, sprawling starship, the USG Ishimura, only to discover something has gone horribly wrong. The ship's crew has been slaughtered and infected by some alien scourge...and Isaac's beloved partner, Nicole, is lost somewhere on board. Now Isaac is alone with only his tools and engineering skills as he attempts to uncover the nightmarish mystery of what happened aboard the Ishimura. Trapped with hostile creatures called ""necromorphs"", Isaac faces a battle for survival, not only against the escalating terrors of the ship, but his own crumbling sanity. Collapse",89,generally favorable reviews,84,82,2,0,8.7,generally favorable reviews,715.0,169.0,14.0,35.0,"Action Adventure, Survival",No Online Multiplayer,M,"#1 Best PlayStation 5 Game of 2023
#4 Most Discussed PlayStation 5 Game of 2023"
